__,hs300,zz500,sz50
2015/01/16 09:50,3621.4,5461.4,2627
2015/01/16 09:55,3628.2,5460.2,2626.4
2015/01/16 10:00,3624.6,5463.6,2627.8
2015/01/16 10:05,3621.4,5466.6,2628.4
2015/01/16 10:10,3624,5464.2,2627.6
2015/01/16 10:15,3629.2,5466.2,2628.6
2015/01/16 10:20,3630.8,5466,2628
2015/01/16 10:25,3644.6,5465.6,2627.6
2015/01/16 10:30,3636.8,5465.6,2627.4
2015/01/16 10:35,3638.8,5469.2,2628.8
2015/01/16 10:40,3632.8,5461.4,2648.8
2015/01/16 10:45,3629.6,5461,2648.6
2015/01/16 10:50,3624.6,5466.2,2650.6
2015/01/16 10:55,3623.4,5464.2,2649.2
2015/01/16 11:00,3622.8,5466,2650.2
2015/01/16 11:05,3612.2,5464.8,2649.6
2015/01/16 11:10,3618,5466.8,2650.4
2015/01/16 11:15,3626,5466.4,2649.8
2015/01/16 11:20,3626.6,5467.6,2650.2
2015/01/16 11:25,3631.6,5469.4,2650.6
2015/01/16 11:30,3626.8,5470.6,2649.2
2015/01/16 13:00,3632,5463.4,2647.8
2015/01/16 13:05,3627,5462.6,2647.2
2015/01/16 13:10,3632.6,5462.8,2647.2
2015/01/16 13:15,3635.8,5468,2649.2
2015/01/16 13:20,3634.2,5469.6,2651
2015/01/16 13:25,3636.6,5471,2651.2
2015/01/16 13:30,3637,5474,2652.6
2015/01/16 13:35,3647.8,5473.8,2652.6
2015/01/16 13:40,3652.4,5476.2,2653.4
2015/01/16 13:45,3639.8,5472.4,2651.4
2015/01/16 13:50,3636,5475.4,2653
2015/01/16 13:55,3643.6,5474.8,2652.4
2015/01/16 14:00,3640,5478.4,2654
2015/01/16 14:05,3645.6,5480,2654.8
2015/01/16 14:10,3644,5479,2654.4
2015/01/16 14:15,3645.4,5477.6,2653.2
2015/01/16 14:20,3645.2,5508.8,2671.2
2015/01/16 14:25,3643,5512,2668
2015/01/16 14:30,3643.4,5506.8,2670
2015/01/16 14:35,3639.4,5504.6,2669
2015/01/16 14:40,3641.6,5509.4,2671.2
2015/01/16 14:45,3641.6,5511.4,2671.2
2015/01/16 14:50,3640.8,5510.4,2670.8
2015/01/16 14:55,3641,5510.4,2671
2015/01/16 15:00,3641.2,5510.2,2663.6
2015/01/19 09:15,3482.8,5590.8,2704
2015/01/19 09:20,3468.8,5593.2,2705
2015/01/19 09:25,3466.2,5552,2674.4
