Date,shanghai,shenzhen
7/21/93,811.74,1778.62
7/22/93,815.53,1804.09
7/23/93,813.54,1867.04
7/26/93,787.81,1859.8
7/27/93,791.62,1948.87
7/28/93,798.33,1998.11
7/29/93,806.67,2033.49
7/30/93,881.07,2089.02
8/2/93,843.27,2075.15
8/3/93,832.72,2023.16
8/4/93,850.54,2047.61
8/5/93,849.3,2101.82
8/6/93,855.52,2073.36
8/9/93,885.27,2196.29
8/10/93,862.08,2217
8/11/93,883.02,2326.58
8/12/93,917.04,2413.5
8/13/93,947.26,2518.36
8/16/93,1023.87,2726.07
8/17/93,974.11,2423.24
8/18/93,947.93,2470.98
8/19/93,968.51,2410.35
8/20/93,946.54,2332.02
8/23/93,893.23,2200.11
8/24/93,894.44,2441.61
8/25/93,911.4,2334.07
8/26/93,903.91,2319.5
8/27/93,894.59,2276.97
8/30/93,899.27,2301.37
8/31/93,895.68,2330.29
9/1/93,893.97,2274.81
9/2/93,901.39,2266.97
9/3/93,922.69,2331.82
9/6/93,947.53,2303.03
9/7/93,909.04,2300.8
9/8/93,909.13,2287.03
9/9/93,901.66,2292.83
9/10/93,903.56,2251.18
9/13/93,879.24,2172.18
9/14/93,876.62,2190.49
9/15/93,880.78,2153.2
9/16/93,875.08,2132.42
9/17/93,881.41,2132.42
9/20/93,875,2237.75
9/21/93,890.23,2195.49
9/22/93,881.24,2228.54
9/23/93,884.02,2228.53
9/24/93,875.81,2149.42
9/27/93,880.98,2164.81
9/28/93,898.15,2177.63
9/29/93,886.12,2227.56
9/30/93,890.27,2226.58
10/4/93,892.55,2279.27
10/5/93,885.86,2262.2
10/6/93,885.04,2242.8
10/7/93,887.62,2247.88
10/8/93,874.76,2231.55
10/11/93,868.38,2214.47
10/12/93,871.42,2225.12
10/13/93,859.7,2198.75
10/14/93,855.04,2196.04
10/15/93,856.92,2213.32
10/18/93,835.25,2172.54
10/19/93,839.6,2172.01
10/20/93,843.85,2165.81
10/21/93,832.25,2146.76
10/22/93,818.81,2131.99
10/25/93,784.97,2081.6
10/26/93,783.23,2086.24
10/27/93,778.38,2102.06
10/28/93,824.66,2166.26
10/29/93,814.82,2121.61
11/1/93,816.71,2097.35
11/2/93,812.67,2119.63
11/3/93,805.71,2114.11
11/4/93,804.26,2104.13
11/5/93,814.39,2115.05
11/8/93,836.99,2166.57
11/9/93,846.15,2139.14
11/10/93,833.17,2247.45
11/11/93,848.27,2290.54
11/12/93,865.97,2339.1
11/15/93,890.46,2388.57
11/16/93,880.33,2320.08
11/17/93,887.65,2342.79
11/18/93,903.07,2376.59
11/19/93,924.67,2390.26
11/22/93,949.77,2387.73
11/23/93,957.95,2311.22
11/24/93,953.23,2279.5
11/25/93,986.69,2309.85
11/26/93,965.39,2285.02
11/29/93,972.96,2273.49
11/30/93,984.93,2288.87
12/1/93,974.8,2253.96
12/2/93,972.8,2243.71
12/3/93,980.67,2238.24
12/6/93,995.72,2250.7
12/7/93,1022.34,2230.22
12/8/93,1009.67,2237.46
12/9/93,984.9,2231.71
12/10/93,978.57,2325.85
12/13/93,950.77,2252.28
12/14/93,925.2,2270.93
12/15/93,940.61,2310.2
12/16/93,908.08,2297.51
12/17/93,901.7,2282.26
12/20/93,783.79,2215.68
12/21/93,840.34,2265.68
12/22/93,821.19,2225.97
12/23/93,833.77,2198.55
12/24/93,834.39,2244.55
12/27/93,839.9,2212.37
12/28/93,839.57,2190.52
12/29/93,821.16,2183.72
12/30/93,826.23,2227.35
12/31/93,833.8,2225.38
1/3/94,833.9,2184.79
1/4/94,832.69,2172.47
1/5/94,846.98,2174.38
1/6/94,869.33,2245.77
1/7/94,879.64,2237.26
1/10/94,900.3,2230.93
1/11/94,891.79,2209.69
1/12/94,888.04,2202.7
1/13/94,897.46,2191.59
1/14/94,849.23,2144.27
1/17/94,859.28,2120.14
1/18/94,835.06,2141.51
1/19/94,807.5,2093.49
1/20/94,802.61,2063.44
1/21/94,812.88,2062.48
1/24/94,839.2,2061.9
1/25/94,815.89,2021.57
1/26/94,812.41,1978.46
1/27/94,818.6,1995.65
1/28/94,799.26,1937.77
1/31/94,770.25,1843.89
2/1/94,755.15,1835.86
2/2/94,772.2,1885.25
2/3/94,780.17,2014.49
2/4/94,797.86,2103.53
2/14/94,779.91,1931.22
2/15/94,772.76,1918.24
2/16/94,776.1,1905.78
2/17/94,768.57,1872.53
2/18/94,769.18,1876.11
2/21/94,754.41,1822.24
2/22/94,768.17,1874.6
2/23/94,759.71,1872.12
2/24/94,758.84,1932.07
2/25/94,787.42,1917.81
2/28/94,770.98,1875.57
3/1/94,757.29,1870.17
3/2/94,742.06,1851.1
3/3/94,734.45,1825.72
3/4/94,726.3,1801.75
3/7/94,718.4,1781.3
3/8/94,711.27,1767.87
3/9/94,716.11,1764.74
3/10/94,698.89,1732.58
3/11/94,717.38,1742.85
3/14/94,788.42,1816.42
3/15/94,772.76,1761.84
3/16/94,793.87,1752.17
3/17/94,776.04,1758.76
3/18/94,765.22,1761.84
3/21/94,731.62,1721.26
3/22/94,739.31,1698.91
3/23/94,725.21,1647.01
3/24/94,724.3,1620.55
3/25/94,719.05,1623
3/28/94,702.23,1588.04
3/29/94,706.91,1620.26
3/30/94,706.34,1604.53
3/31/94,704.46,1560.59
4/1/94,698.84,1540.51
4/4/94,694.38,1519.12
4/5/94,682.75,1522.33
4/6/94,679.74,1537.4
4/7/94,677.31,1533.61
4/8/94,678.85,1491.28
4/11/94,659.05,1437.76
4/12/94,665.61,1430.6
4/13/94,656.79,1400.55
4/14/94,636.08,1333.1
4/15/94,626.79,1379.83
4/18/94,604.15,1305.46
4/19/94,572.73,1225.79
4/20/94,540.24,1175.35
4/21/94,582.43,1232.96
4/22/94,566.07,1192.5
4/25/94,560.8,1217.74
4/26/94,579.72,1261.44
4/27/94,598.5,1326.16
4/28/94,599.63,1306.51
4/29/94,592.56,1356.61
5/3/94,605.77,1496.33
5/4/94,619.58,1448.17
5/5/94,590.87,1422.17
5/6/94,585.8,1427.03
5/9/94,581.7,1505.79
5/10/94,595.38,1517.04
5/11/94,591.18,1476.06
5/12/94,582.16,1426.95
5/13/94,590.39,1499.98
5/16/94,592.57,1506.44
5/17/94,592.02,1459.88
5/18/94,583.32,1449.79
5/19/94,590.54,1483.91
5/20/94,594.22,1463.86
5/23/94,587.65,1441.84
5/24/94,590.46,1452.02
5/25/94,586.76,1421.03
5/26/94,577.46,1386.4
5/27/94,573.36,1377.43
5/30/94,544.26,1309.06
5/31/94,556.26,1330.86
6/1/94,545.05,1287.02
6/2/94,546.58,1286.25
6/3/94,548.75,1291.08
6/6/94,542.97,1268.82
6/7/94,529.76,1262.9
6/8/94,533.56,1268.71
6/9/94,523,1258.75
6/10/94,514.54,1251.09
6/13/94,492.03,1214.44
6/14/94,490.75,1184.77
6/15/94,496.11,1189.16
6/16/94,506.36,1227.37
6/17/94,527.85,1274.74
6/20/94,502.43,1212.29
6/21/94,498.07,1201.22
6/22/94,505.18,1217.71
6/23/94,500.39,1208.47
6/24/94,492.33,1191.93
6/27/94,472.1,1150.29
6/28/94,469.95,1136.75
6/29/94,468.2,1130.06
6/30/94,469.29,1143.34
7/1/94,458.37,1122.52
7/4/94,438.58,1098.33
7/5/94,443.61,1099.27
7/6/94,431.71,1099.64
7/7/94,425.98,1099.68
7/8/94,437.75,1117.41
7/11/94,428.15,1097.04
7/12/94,429.21,1087.56
7/13/94,437.62,1101.91
7/14/94,431.8,1094.65
7/15/94,413.93,1059.92
7/18/94,398.96,1019.81
7/19/94,400.48,1018.98
7/20/94,393.87,1000
7/21/94,380.9,988.83
7/22/94,363.73,986.15
7/25/94,375.39,1022.62
7/26/94,388.75,1061.98
7/27/94,371.1,1010.39
7/28/94,339.81,970.39
7/29/94,333.92,970.48
8/1/94,445.64,1224.71
8/2/94,432.61,1222.04
8/3/94,522.98,1383.05
8/4/94,562.77,1413.05
8/5/94,683.04,1527.83
8/8/94,711.8,1518.89
8/9/94,621.58,1413.44
8/10/94,739.66,1560.41
8/11/94,689.31,1507.5
8/12/94,689.66,1510.82
8/15/94,665.88,1478.27
8/16/94,693.01,1494.72
8/17/94,725.04,1527.77
8/18/94,748.56,1574.47
8/19/94,713.85,1526.49
8/22/94,681.8,1480.38
8/23/94,714.61,1505.85
8/24/94,705.71,1479.34
8/25/94,722.23,1441.34
8/26/94,707.41,1428.59
8/29/94,710.68,1417.88
8/30/94,756.2,1464.76
8/31/94,785.33,1517.01
9/1/94,790.19,1566.83
9/2/94,830.18,1628.04
9/5/94,940.61,1909.46
9/6/94,1004.92,2058.49
9/7/94,931.57,1917.87
9/8/94,972.84,2065.7
9/9/94,962.52,1954.77
9/12/94,1019.97,2071.04
9/13/94,1033.47,2053.95
9/14/94,974.86,2002.16
9/15/94,972.54,1936.9
9/16/94,978.99,1987.44
9/19/94,927.62,1959.69
9/20/94,914.39,1913.15
9/21/94,969.03,2004.69
9/22/94,918.44,1966.5
9/23/94,867.65,1943.69
9/26/94,880.6,1967.42
9/27/94,870.15,1991.82
9/28/94,912.38,2033.13
9/29/94,839.37,1865.97
9/30/94,791.15,1720.6
10/5/94,706.42,1515.92
10/6/94,660.5,1456.82
10/7/94,738.03,1571.19
10/10/94,698.93,1494.71
10/11/94,705.07,1515.17
10/12/94,711.01,1517.78
10/13/94,635.38,1418.94
10/14/94,663.75,1448.36
10/17/94,616.34,1379.79
10/18/94,624.52,1384.1
10/19/94,652.89,1422.28
10/20/94,718.99,1494.71
10/21/94,712.71,1435.8
10/24/94,785.85,1510.59
10/25/94,744.52,1467.46
10/26/94,686.31,1446
10/27/94,703.62,1467.83
10/28/94,677.45,1441.97
10/31/94,654.98,1387.08
11/1/94,673.79,1397.16
11/2/94,667.86,1395
11/3/94,717.36,1426.84
11/4/94,666.77,1390.54
11/7/94,674.67,1383.61
11/8/94,709.69,1412.26
11/9/94,723.91,1423.4
11/10/94,711.68,1398.16
11/11/94,731.16,1429.64
11/14/94,733.39,1432.28
11/15/94,705.43,1412
11/16/94,706.63,1411.81
11/17/94,697.17,1394.05
11/18/94,698.81,1394.57
11/21/94,699.1,1382.98
11/22/94,692.39,1378.06
11/23/94,679.61,1368.39
11/24/94,678.02,1360.28
11/25/94,685.33,1370.25
11/28/94,681.49,1362.84
11/29/94,687.56,1376.51
11/30/94,683.59,1365.63
