Date,Open,High,Low,Close,Volume
2/1/2012,1312.45,1330.52,1312.45,1324.09,684278912
2/2/2012,1324.24,1329.19,1321.57,1325.54,592382336
2/3/2012,1326.21,1345.34,1326.21,1344.9,676318592
2/6/2012,1344.32,1344.36,1337.52,1344.33,539291520
2/7/2012,1344.33,1349.24,1335.92,1347.05,545415168
2/8/2012,1347.04,1351,1341.95,1349.96,610168512
2/9/2012,1349.97,1354.32,1344.63,1351.95,626872192
2/10/2012,1351.21,1351.21,1337.35,1342.64,585432192
2/13/2012,1343.06,1353.35,1343.06,1351.77,516968160
2/14/2012,1351.3,1351.3,1340.83,1350.5,642037056
2/15/2012,1350.52,1355.87,1340.8,1343.23,641017600
2/16/2012,1342.61,1359.02,1341.22,1358.04,626443520
2/17/2012,1358.06,1363.4,1357.24,1361.23,864006912
2/21/2012,1361.22,1367.76,1358.11,1362.21,645263296
2/22/2012,1362.11,1362.7,1355.53,1357.66,584640384
2/23/2012,1357.53,1364.24,1352.28,1363.46,580674240
2/24/2012,1363.46,1368.92,1363.46,1365.74,481739680
2/27/2012,1365.2,1371.94,1354.92,1367.59,582264128
2/28/2012,1367.56,1373.09,1365.97,1372.17,596843712
2/29/2012,1372.2,1378.04,1363.81,1365.68,855129856
3/1/2012,1365.9,1376.17,1365.9,1374.09,626351040
3/2/2012,1374.09,1374.53,1366.42,1369.63,478462848
3/5/2012,1369.59,1369.59,1359.13,1364.34,538399168
3/6/2012,1363.63,1363.63,1340.03,1343.36,667561856
3/7/2012,1343.39,1354.85,1343.39,1352.63,625659776
3/8/2012,1352.65,1368.72,1352.65,1365.91,540003712
3/9/2012,1365.97,1374.76,1365.97,1370.87,524496608
3/12/2012,1370.78,1373.04,1366.69,1371.09,481857344
3/13/2012,1371.92,1396.13,1371.92,1395.95,684474432
3/14/2012,1395.95,1399.42,1389.97,1394.28,688684032
3/15/2012,1394.17,1402.63,1392.78,1402.6,677947840
3/16/2012,1402.55,1405.88,1401.47,1404.17,1362302336
3/19/2012,1404.17,1414,1402.43,1409.75,558778368
3/20/2012,1409.59,1409.59,1397.68,1405.52,560849536
3/21/2012,1405.52,1407.75,1400.64,1402.89,589411968
3/22/2012,1402.89,1402.89,1388.73,1392.79,580947520
3/23/2012,1392.78,1399.18,1386.87,1397.11,576321792
3/26/2012,1397.11,1416.58,1397.11,1416.51,565915584
3/27/2012,1416.55,1419.15,1411.95,1412.52,562274112
3/28/2012,1412.52,1413.65,1397.2,1405.54,645212416
3/29/2012,1405.39,1405.39,1391.56,1403.28,628170560
3/30/2012,1403.31,1410.89,1401.42,1408.47,755153792
4/2/2012,1408.47,1422.38,1404.46,1419.04,588870656
4/3/2012,1418.98,1419,1404.62,1413.38,652731648
4/4/2012,1413.09,1413.09,1394.09,1398.96,640463488
4/5/2012,1398.79,1401.6,1392.92,1398.08,595254336
4/9/2012,1397.45,1397.45,1378.24,1382.2,538616704
4/10/2012,1382.18,1383.01,1357.38,1358.59,733544256
4/11/2012,1358.98,1374.71,1358.98,1368.7,593003200
4/12/2012,1368.77,1388.13,1368.77,1387.57,547368832
4/13/2012,1387.61,1387.61,1369.85,1370.26,631237824
4/16/2012,1370.27,1379.66,1365.38,1369.57,596952128
4/17/2012,1369.57,1392.76,1369.57,1390.78,566529216
4/18/2012,1390.78,1390.78,1383.29,1385.14,582061888
4/19/2012,1385.08,1390.46,1370.3,1376.92,676165056
4/20/2012,1376.96,1387.4,1376.96,1378.53,887960832
4/23/2012,1378.53,1378.53,1358.79,1366.94,642154880
4/24/2012,1366.97,1375.57,1366.82,1371.97,617978304
4/25/2012,1372.11,1391.37,1372.11,1390.69,641079296
4/26/2012,1390.64,1402.09,1387.28,1399.98,599315136
4/27/2012,1400.19,1406.64,1397.31,1403.36,582286848
4/30/2012,1403.26,1403.26,1394,1397.91,614539008
5/1/2012,1397.86,1415.32,1395.73,1405.82,573667392
5/2/2012,1405.5,1405.5,1393.92,1402.31,554809152
5/3/2012,1402.32,1403.07,1388.71,1391.57,589986496
5/4/2012,1391.51,1391.51,1367.96,1369.1,596064448
5/7/2012,1368.79,1373.91,1363.94,1369.58,586001024
5/8/2012,1369.16,1369.16,1347.75,1363.72,690165760
5/9/2012,1363.2,1363.73,1343.13,1354.58,728912448
5/10/2012,1354.58,1365.88,1354.58,1357.99,657005760
5/11/2012,1358.11,1365.66,1348.89,1353.39,627982912
5/14/2012,1351.93,1351.93,1336.61,1338.35,641538624
5/15/2012,1338.36,1344.94,1328.41,1330.66,665603904
5/16/2012,1330.78,1341.78,1324.79,1324.8,677159360
5/17/2012,1324.82,1326.36,1304.86,1304.86,693854080
5/18/2012,1305.05,1312.24,1291.98,1295.22,999102144
5/21/2012,1295.73,1316.39,1295.73,1315.99,660701760
5/22/2012,1316.09,1328.49,1310.04,1316.63,649988224
5/23/2012,1316.02,1320.71,1296.53,1318.86,710563648
5/24/2012,1318.72,1324.14,1310.5,1320.68,624818240
5/25/2012,1320.81,1324.2,1314.23,1317.82,458230528
5/29/2012,1318.9,1334.93,1318.9,1332.42,560752832
5/30/2012,1331.25,1331.25,1310.76,1313.32,590658240
5/31/2012,1313.09,1319.74,1298.9,1310.33,951090816
6/1/2012,1309.87,1309.87,1277.25,1278.05,794839104
6/4/2012,1278.29,1282.55,1266.74,1278.18,647897664
6/5/2012,1277.82,1287.62,1274.16,1285.5,564873408
6/6/2012,1285.61,1315.13,1285.61,1315.13,666071424
6/7/2012,1316.15,1329.05,1312.68,1314.99,658585792
6/8/2012,1314.99,1325.81,1307.77,1325.66,539308864
6/11/2012,1325.72,1335.52,1307.73,1308.93,578636160
6/12/2012,1309.4,1324.31,1306.62,1324.18,586248896
