cost,time,status,seed,config_id,instance_id
0.025681,0.025681,StatusType.SUCCESS,315770200,43,instances/gzip_vc1027.cnf
0.011324,0.011324,StatusType.SUCCESS,1282027545,43,instances/gzip_vc1041.cnf
0.030841,0.030841,StatusType.SUCCESS,2143362693,43,instances/gzip_vc1038.cnf
0.003741,0.003741,StatusType.SUCCESS,732152370,43,instances/gzip_vc1012.cnf
0.006498,0.006498,StatusType.SUCCESS,513621141,43,instances/gzip_vc1021.cnf
0.001955,0.001955,StatusType.SUCCESS,1195672662,43,instances/gzip_vc1013.cnf
0.011056,0.011056,StatusType.SUCCESS,1104314680,43,instances/gzip_vc1041.cnf
0.003511,0.003511,StatusType.SUCCESS,1179591951,43,instances/gzip_vc1012.cnf
0.002164,0.002164,StatusType.SUCCESS,1687444137,43,instances/gzip_vc1013.cnf
0.018701,0.018701,StatusType.SUCCESS,170439343,43,instances/gzip_vc1044.cnf
0.035909,0.035909,StatusType.SUCCESS,1638222925,43,instances/gzip_vc1038.cnf
0.002203,0.002203,StatusType.SUCCESS,1287530423,43,instances/gzip_vc1013.cnf
0.006544,0.006544,StatusType.SUCCESS,1857983374,43,instances/gzip_vc1021.cnf
0.006364,0.006364,StatusType.SUCCESS,1704103302,43,instances/gzip_vc1021.cnf
0.015178,0.015178,StatusType.SUCCESS,1703301249,43,instances/gzip_vc1018.cnf
0.016721,0.016721,StatusType.SUCCESS,768092755,43,instances/gzip_vc1044.cnf
0.003168,0.003168,StatusType.SUCCESS,1695977848,43,instances/gzip_vc1012.cnf
0.003327,0.003327,StatusType.SUCCESS,259974304,43,instances/gzip_vc1012.cnf
0.016915,0.016915,StatusType.SUCCESS,1289917162,43,instances/gzip_vc1018.cnf
0.01604,0.01604,StatusType.SUCCESS,557132457,43,instances/gzip_vc1018.cnf
0.001879,0.001879,StatusType.SUCCESS,592003168,43,instances/gzip_vc1013.cnf
0.023607,0.023607,StatusType.SUCCESS,399713351,1,instances/gzip_vc1020.cnf
0.024885,0.024885,StatusType.SUCCESS,1960903859,43,instances/gzip_vc1027.cnf
0.017216,0.017216,StatusType.SUCCESS,1703301249,44,instances/gzip_vc1018.cnf
0.035989,0.035989,StatusType.SUCCESS,324139549,43,instances/gzip_vc1038.cnf
0.002344,0.002344,StatusType.SUCCESS,1287530423,45,instances/gzip_vc1013.cnf
0.002583,0.002583,StatusType.SUCCESS,1925045143,43,instances/gzip_vc1013.cnf
0.015431,0.015431,StatusType.SUCCESS,1319006753,46,instances/gzip_vc1018.cnf
0.017689,0.017689,StatusType.SUCCESS,2083982612,43,instances/gzip_vc1044.cnf
0.002319,0.002319,StatusType.SUCCESS,1925045143,47,instances/gzip_vc1013.cnf
0.016948,0.016948,StatusType.SUCCESS,1050945107,47,instances/gzip_vc1031.cnf
0.017593,0.017593,StatusType.SUCCESS,1319006753,47,instances/gzip_vc1018.cnf
0.015556,0.015556,StatusType.SUCCESS,538242005,43,instances/gzip_vc1031.cnf
0.0032,0.0032,StatusType.SUCCESS,259974304,48,instances/gzip_vc1012.cnf
0.006664,0.006664,StatusType.SUCCESS,621042495,48,instances/gzip_vc1021.cnf
0.024555,0.024555,StatusType.SUCCESS,1413675217,48,instances/gzip_vc1027.cnf
0.031444,0.031444,StatusType.SUCCESS,1638222925,48,instances/gzip_vc1038.cnf
0.018286,0.018286,StatusType.SUCCESS,399713351,48,instances/gzip_vc1020.cnf
0.016547,0.016547,StatusType.SUCCESS,1298508491,48,instances/gzip_vc1044.cnf
0.015755,0.015755,StatusType.SUCCESS,538242005,48,instances/gzip_vc1031.cnf
0.00654,0.00654,StatusType.SUCCESS,1704103302,48,instances/gzip_vc1021.cnf
0.016589,0.016589,StatusType.SUCCESS,2051782562,48,instances/gzip_vc1020.cnf
0.02442,0.02442,StatusType.SUCCESS,1960903859,48,instances/gzip_vc1027.cnf
0.013759,0.013759,StatusType.SUCCESS,1205532000,48,instances/gzip_vc1018.cnf
0.017088,0.017088,StatusType.SUCCESS,2083982612,48,instances/gzip_vc1044.cnf
0.00331,0.00331,StatusType.SUCCESS,262150548,48,instances/gzip_vc1012.cnf
0.033686,0.033686,StatusType.SUCCESS,2143362693,48,instances/gzip_vc1038.cnf
0.018737,0.018737,StatusType.SUCCESS,438667483,48,instances/gzip_vc1020.cnf
0.026433,0.026433,StatusType.SUCCESS,315770200,48,instances/gzip_vc1027.cnf
0.002598,0.002598,StatusType.SUCCESS,592003168,48,instances/gzip_vc1013.cnf
0.017315,0.017315,StatusType.SUCCESS,116213680,48,instances/gzip_vc1031.cnf
0.031375,0.031375,StatusType.SUCCESS,1208933503,48,instances/gzip_vc1038.cnf
0.017738,0.017738,StatusType.SUCCESS,1050945107,48,instances/gzip_vc1031.cnf
0.009402,0.009402,StatusType.SUCCESS,1282027545,48,instances/gzip_vc1041.cnf
0.01373,0.01373,StatusType.SUCCESS,557132457,48,instances/gzip_vc1018.cnf
0.00246,0.00246,StatusType.SUCCESS,1195672662,48,instances/gzip_vc1013.cnf
0.008922,0.008922,StatusType.SUCCESS,1857983374,48,instances/gzip_vc1021.cnf
0.026096,0.026096,StatusType.SUCCESS,320883483,48,instances/gzip_vc1027.cnf
0.006693,0.006693,StatusType.SUCCESS,513621141,48,instances/gzip_vc1021.cnf
0.018391,0.018391,StatusType.SUCCESS,768092755,48,instances/gzip_vc1044.cnf
0.002525,0.002525,StatusType.SUCCESS,1687444137,48,instances/gzip_vc1013.cnf
0.033293,0.033293,StatusType.SUCCESS,992203680,48,instances/gzip_vc1038.cnf
0.019457,0.019457,StatusType.SUCCESS,1703301249,48,instances/gzip_vc1018.cnf
0.004404,0.004404,StatusType.SUCCESS,732152370,48,instances/gzip_vc1012.cnf
0.009654,0.009654,StatusType.SUCCESS,1029125567,43,instances/gzip_vc1041.cnf
0.002337,0.002337,StatusType.SUCCESS,1687444137,49,instances/gzip_vc1013.cnf
